*Newspaper Title*,*City*,*State*,*Start Date*,*End Date*,*Issues Available*
New-Bedford Mercury,New Bedford,MA,1843-01-06,1857-12-25,378
New-Hampshire Gazette,Portsmouth,NH,1843-01-03,1851-12-30,925
Newburyport Herald,Newburyport,MA,1843-01-02,1847-03-19,335
Newport Mercury,Newport,RI,1843-01-07,1860-12-29,936
Norfolk Democrat,Dedham,MA,1843-01-06,1854-09-15,636
North American,Philadelphia,PA,1843-01-02,1860-12-31,"5,584"
North Star,Danville,VT,1844-06-17,1846-09-07,5
Northern Islander,St. James,MI,1850-12-12,1856-06-20,77
Norwich Aurora,Norwich,CT,1843-05-17,1860-04-07,120
Norwich Courier,Norwich,CT,1843-01-04,1860-08-16,177
Norwich Morning Bulletin,Norwich,CT,1860-10-16,1860-11-23,24
Ohio State Journal,Columbus,OH,1843-01-04,1860-10-09,780
Ohio Statesman,Columbus,OH,1843-01-02,1852-11-02,810
Pacific Commercial Advertiser,Honolulu,HI,1856-07-02,1860-12-27,239
Painesville Telegraph,Painesville,OH,1845-01-01,1845-08-13,16
Pennsylvania Freeman,Philadelphia,PA,1844-05-09,1854-06-15,252
Pensacola Gazette,Pensacola,FL,1843-01-07,1856-03-29,106
People's Advocate,New London,CT,1843-01-04,1848-04-26,277
Pilot,Egg Harbor City,NJ,1858-12-18,1859-03-19,13
Plattsburgh Republican,Plattsburgh,NY,1843-01-07,1860-12-29,463
Polynesian,Honolulu,HI,1846-04-11,1858-09-11,122
Portage County Democrat,Ravenna,OH,1854-04-05,1855-03-28,52
Portland Daily Advertiser,Portland,ME,1845-05-27,1859-07-16,524
Portland Weekly Advertiser,Portland,ME,1843-01-02,1859-12-27,895
Portsmouth Journal of Literature and Politics,Portsmouth,NH,1843-01-07,1860-12-29,989
Press,Philadelphia,PA,1857-08-01,1858-01-30,154
Providence Evening Press,Providence,RI,1859-03-14,1860-12-31,559
Public Ledger,Philadelphia,PA,1843-01-02,1860-12-31,"5,880"
Reading Adler,Reading,PA,1843-01-03,1860-12-25,943
Red-Lander,San Augustine,TX,1843-10-07,1847-08-07,23
Republic,Washington (DC),DC,1849-07-04,1851-07-31,111
Republican Farmer,Bridgeport,CT,1843-01-03,1860-04-20,388
Richmond Daily Whig,Richmond,VA,1847-09-28,1857-03-28,10
Richmond Enquirer,Richmond,VA,1845-06-02,1845-11-14,137
Richmond Whig,Richmond,VA,1843-01-03,1860-12-28,"1,767"
Rondout Freeman,Rondout,NY,1845-07-19,1847-09-18,109
Rusk Pioneer,Rusk,TX,1849-04-04,1849-11-07,12
Sacramento Weekly Union,Sacramento,CA,1851-10-31,1853-04-15,14
Salem Gazette,Salem,MA,1849-08-17,1849-12-29,58
Salem Observer,Salem,MA,1845-07-12,1860-12-29,378
Salem Register,Salem,MA,1843-01-02,1860-12-31,"1,758"
San Francisco Bulletin,San Francisco,CA,1855-10-08,1860-12-31,"1,613"
San Francisco Evening Journal,San Francisco,CA,1852-05-31,1854-05-13,100
San Joaquin Republican,Stockton,CA,1855-10-27,1860-12-08,240
Sandusky Register,Sandusky,OH,1848-04-24,1860-12-31,"3,018"
Sandwich Island News,Honolulu,HI,1846-09-02,1846-12-23,15
Saturday Evening Gazette,Boston,MA,1856-09-20,1859-03-26,126
Saturday Morning Citizen,Beverly,MA,1858-10-13,1860-12-15,22
Savannah Republican,Savannah,GA,1849-01-01,1851-12-31,922
Sociale Republik,New York,NY,1858-04-24,1860-05-26,109
Southern Aegis,Bel Air,MD,1857-07-11,1857-12-26,25
Southern Beacon,Henderson,TX,1859-01-15,1859-07-02,12
Southern Intelligencer,Austin,TX,1856-08-27,1860-04-04,133
Spectator,New York,NY,1843-01-04,1851-09-29,857
St. Albans Messenger,St. Albans,VT,1843-12-06,1860-12-27,904
St. Paul Daily Pioneer,St. Paul,MN,1854-09-23,1857-12-31,648
Standard,Clarksville,TX,1843-01-07,1860-11-22,758
Star State Patriot,Marshall,TX,1852-03-20,1852-10-23,24
Sun,Pittsfield,MA,1843-01-05,1859-12-29,"1,030"
Sun,Baltimore,MD,1843-01-02,1860-12-31,"5,549"
Sunday Delta,New Orleans,LA,1856-09-28,1860-03-25,54
Telescope,Manchester,NH,1849-01-13,1849-10-13,29
Temperance Advocate,Honolulu,HI,1843-01-01,1843-12-02,17
Texas State Gazette,Austin,TX,1853-08-06,1860-12-29,290
Texas Union,San Augustine,TX,1847-10-16,1848-04-01,21
Times,Hartford,CT,1843-01-07,1860-03-31,270
Trenton State Gazette,Trenton,NJ,1847-01-12,1860-12-29,"3,866"
Trinity Advocate,Palestine,TX,1857-04-22,1860-12-12,109
True Sun,New York,NY,1847-05-24,1848-02-25,19
Vermont Centinel,Burlington,VT,1843-01-06,1850-07-12,31
Vermont Gazette,Bennington,VT,1843-01-03,1847-02-16,215
Vermont Gazette,Bennington,VT,1847-03-17,1848-12-27,69
Vermont Gazette,Bennington,VT,1847-05-04,1850-10-10,161
Vermont Journal,Windsor,VT,1844-06-20,1856-05-30,465
Vermont Phoenix,Brattleboro,VT,1843-01-06,1850-12-27,279
Victoria Advocate,Victoria,TX,1848-01-20,1851-11-08,114
Wabash Courier,Terre Haute,IN,1844-03-30,1853-01-01,150
Wachusett Star,Barre,MA,1847-11-23,1848-06-20,31
Washington Reporter,Washington,PA,1843-04-22,1860-12-27,"1,031"
